scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"bi_mppi",46,2,2,12,0.00912975,0.003705736,0.004032376,3.5788e-05,0.00135585,0.508283658,0.171655262,0.265321598,0.001724001,0.069582797,1.354026832,2.354111916,1.540260418
0,"bi_mppi",47,2,2,12,0.008357625,0.003323405,0.003604851,3.4205e-05,0.001395164,0.516641283,0.174978667,0.268926449,0.001758206,0.070977961,1.356243958,2.426696518,1.441982395
0,"bi_mppi",48,2,2,12,0.007509458,0.00333354,0.002671643,3.4093e-05,0.001470182,0.524150741,0.178312207,0.271598092,0.001792299,0.072448143,1.366145324,2.503136554,1.439556291
0,"bi_mppi",49,2,2,12,0.007544122,0.003286615,0.002620002,3.3573e-05,0.001603932,0.531694863,0.181598822,0.274218094,0.001825872,0.074052075,1.373563418,2.559334762,1.503038769
0,"bi_mppi",50,2,2,12,0.008189253,0.003532545,0.003185503,3.3944e-05,0.001437261,0.539884116,0.185131367,0.277403597,0.001859816,0.075489336,1.37539628,2.586343656,1.58498244
0,"bi_mppi",51,2,2,12,0.008677007,0.003382758,0.004054175,3.4483e-05,0.001205591,0.548561123,0.188514125,0.281457772,0.001894299,0.076694927,1.374456207,2.652606329,1.589453999
0,"bi_mppi",52,2,2,12,0.007507601,0.003434211,0.002679209,3.3502e-05,0.001360679,0.556068724,0.191948336,0.284136981,0.001927801,0.078055606,1.373119574,2.724237878,1.627250819
0,"bi_mppi",53,2,2,12,0.032171136,0.003598658,0.027028878,3.7481e-05,0.001506119,0.58823986,0.195546994,0.311165859,0.001965282,0.079561725,1.368671848,2.802938435,1.576778945
0,"bi_mppi",54,2,2,12,0.007455477,0.003261433,0.002588931,3.4364e-05,0.001570749,0.595695337,0.198808427,0.31375479,0.001999646,0.081132474,1.368522769,2.82785694,1.665153582
0,"bi_mppi",55,2,2,12,0.007605356,0.003216698,0.002818389,3.4104e-05,0.001536165,0.603300693,0.202025125,0.316573179,0.00203375,0.082668639,1.36394696,2.876207443,1.693503915
0,"bi_mppi",56,2,2,12,0.007335432,0.003257874,0.002826804,3.3602e-05,0.001217152,0.610636125,0.205282999,0.319399983,0.002067352,0.083885791,1.361574387,2.895445476,1.691190304
0,"bi_mppi",57,2,2,12,0.008014532,0.003385296,0.003239301,3.4516e-05,0.001355419,0.618650657,0.208668295,0.322639284,0.002101868,0.08524121,1.353274152,2.964054331,1.69330712
0,"bi_mppi",58,2,2,12,0.007515689,0.003473823,0.002708998,3.3343e-05,0.001299525,0.626166346,0.212142118,0.325348282,0.002135211,0.086540735,1.343794027,3.041048765,1.680708663
0,"bi_mppi",59,2,2,12,0.007907286,0.003291288,0.003127182,3.4383e-05,0.001454433,0.634073632,0.215433406,0.328475464,0.002169594,0.087995168,1.335764896,3.113804677,1.732074426
0,"bi_mppi",60,2,2,12,0.044301155,0.003508313,0.03931297,3.6709e-05,0.001443163,0.678374787,0.218941719,0.367788434,0.002206303,0.089438331,1.325335882,3.177907832,1.746429145
